"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Mon Nov 22 23:09:38 UTC 2021","Mon Nov 22 23:09:38 UTC 2021","0","","[Chrome Headless 95.0.4638.69 (Linux x86_64)] AppComponent","","[Chrome Headless 95.0.4638.69 (Linux x86_64)] AppComponent","should create the app","should create the app",""
"skipped","Mon Nov 22 23:09:38 UTC 2021","Mon Nov 22 23:09:38 UTC 2021","0","","[Chrome Headless 95.0.4638.69 (Linux x86_64)] UsersComponent","","[Chrome Headless 95.0.4638.69 (Linux x86_64)] UsersComponent","should create","should create",""
"passed","Mon Nov 22 23:09:39 UTC 2021","Mon Nov 22 23:09:39 UTC 2021","2","","[Chrome Headless 95.0.4638.69 (Linux x86_64)] AuthService","","[Chrome Headless 95.0.4638.69 (Linux x86_64)] AuthService","#getUsername returns username property of a JWT payload","#getUsername returns username property of a JWT payload",""
"passed","Mon Nov 22 23:09:39 UTC 2021","Mon Nov 22 23:09:39 UTC 2021","3","","[Chrome Headless 95.0.4638.69 (Linux x86_64)] AuthService #setToken","","[Chrome Headless 95.0.4638.69 (Linux x86_64)] AuthService #setToken","saves the token to localStorage and emits the status","saves the token to localStorage and emits the status",""
"skipped","Mon Nov 22 23:09:38 UTC 2021","Mon Nov 22 23:09:38 UTC 2021","0","","[Chrome Headless 95.0.4638.69 (Linux x86_64)] TaskEditorComponent","","[Chrome Headless 95.0.4638.69 (Linux x86_64)] TaskEditorComponent","should create","should create",""
"passed","Mon Nov 22 23:09:38 UTC 2021","Mon Nov 22 23:09:38 UTC 2021","99","","[Chrome Headless 95.0.4638.69 (Linux x86_64)] LoginFormComponent","","[Chrome Headless 95.0.4638.69 (Linux x86_64)] LoginFormComponent","is valid with user data","is valid with user data",""
"skipped","Mon Nov 22 23:09:38 UTC 2021","Mon Nov 22 23:09:38 UTC 2021","0","","[Chrome Headless 95.0.4638.69 (Linux x86_64)] TaskListComponent","","[Chrome Headless 95.0.4638.69 (Linux x86_64)] TaskListComponent","should create","should create",""
"passed","Mon Nov 22 23:09:38 UTC 2021","Mon Nov 22 23:09:38 UTC 2021","19","","[Chrome Headless 95.0.4638.69 (Linux x86_64)] LoginFormComponent","","[Chrome Headless 95.0.4638.69 (Linux x86_64)] LoginFormComponent","should be empty","should be empty",""
"passed","Mon Nov 22 23:09:39 UTC 2021","Mon Nov 22 23:09:39 UTC 2021","2","","[Chrome Headless 95.0.4638.69 (Linux x86_64)] AuthService","","[Chrome Headless 95.0.4638.69 (Linux x86_64)] AuthService","should be created","should be created",""
"skipped","Mon Nov 22 23:09:38 UTC 2021","Mon Nov 22 23:09:38 UTC 2021","0","","[Chrome Headless 95.0.4638.69 (Linux x86_64)] LogoutFormComponent","","[Chrome Headless 95.0.4638.69 (Linux x86_64)] LogoutFormComponent","should create","should create",""
"skipped","Mon Nov 22 23:09:38 UTC 2021","Mon Nov 22 23:09:38 UTC 2021","0","","[Chrome Headless 95.0.4638.69 (Linux x86_64)] SocialComponent","","[Chrome Headless 95.0.4638.69 (Linux x86_64)] SocialComponent","should create","should create",""
"passed","Mon Nov 22 23:09:38 UTC 2021","Mon Nov 22 23:09:38 UTC 2021","3","","[Chrome Headless 95.0.4638.69 (Linux x86_64)] ModalService","","[Chrome Headless 95.0.4638.69 (Linux x86_64)] ModalService","should be created","should be created",""
"skipped","Mon Nov 22 23:09:38 UTC 2021","Mon Nov 22 23:09:38 UTC 2021","0","","[Chrome Headless 95.0.4638.69 (Linux x86_64)] AppComponent","","[Chrome Headless 95.0.4638.69 (Linux x86_64)] AppComponent","should have as title 'App'","should have as title 'App'",""
